SECTOR;Sectores Elementales
LECBBAS;LECBBAS
LECBBKE;
LECBCBM;
LECBCCC;LECBCCL
LECBCCC;LECBCCU
LECBCCL;LECBCCL
LECBCCU;LECBCCU
LECBCVN;LECBCCL
LECBCVN;LECBCCU
LECBCVN;LECBVNI
LECBMLS;LECBMNL
LECBMMI;LECBMNL
LECBMMI;LECBMNU
LECBMNI;LECBMNL
LECBMNI;LECBMNU
LECBMNL;LECBMNL
LECBMNU;LECBMNU
LECBMUS;LECBMNU
LECBMVI;
LECBMVS;LECBBAS
LECBMVS;LECBMNL
LECBMVS;LECBMNU
LECBVMN;LECBMNL
LECBVMN;LECBMNU
LECBVMN;LECBVNI
LECBVMS;LECBBAS
LECBVMS;LECBVNI
LECBVNI;LECBVNI
LECBVVI;LECBVNI
LECBVVS;
LECBBKW;
LECBLGL;LECBLVL
LECBLGU;LECBLVU
LECBLLI;LECBLVL
LECBLLI;LECBLVL
LECBLLI;LECBLVS
LECBLVL;LCBLVU
LECBLVS;LECBLVS
LECBLVU;LEBCLVU
LECBP1I;LECBP1L
LECBP1I;LECBP1U
LECBP1L;LECBP1L
LECBP1U;LECBP1U
LECBPP2;LECBPP2
LECBPPI;LECBP1L
LECBPPI;LECBP1U
LECBPPI;LECBPP2
