SECTOR;Sectores Elementales
LECBBAS;LECBBAS
LECBBKE;
LECBBKW;
LECBCBM;
LECBCCC;LECBCCL
LECBCCC;LECBCCU
LECBCCL;LECBCCL
LECBCCU;LECBCCU
LECBCVN;LECBCCL
LECBCVN;LECBCCU
LECBCVN;LECBVNI
LECBG12;LECBGO1
LECBG12;LECBGO2
LECBG23;LECBGO2
LECBG23;LECBGO3
LECBGO1;LECBGO1
LECBGO2;LECBGO2
LECBGO3;LECBGO3
LECBGOI;LECBGO1
LECBGOI;LECBGO2
LECBGOI;LECBGO3
LECBLGL;LECBLVL
LECBLGU;LECBLVU
LECBLLI;LECBLVL
LECBLLI;LECBLVS
LECBLLI;LECBLVU
LECBLVL;LECBLVL
LECBLVS;LECBLVS
LECBLVU;LECBLVU
LECBMLS;LECBMNL
LECBMMI;LECBMNL
LECBMMI;LECBMNU
LECBMNI;LECBMNL
LECBMNI;LECBMNU
LECBMNL;LECBMNL
LECBMNU;LECBMNU
LECBMUS;LECBMNU
LECBMVI;
LECBMVS;LECBBAS
LECBMVS;LECBMNL
LECBMVS;LECBMNU
LECBP1I;LECBP1L
LECBP1I;LECBP1U
LECBP1L;LECBP1L
LECBP1U;LECBP1U
LECBP2R;LECBP2R
LECBPP2;LECBPP2
LECBPPI;
LECBVMN;LECBMNL
LECBVMN;LECBMNU
LECBVMN;LECBVNI
LECBVMS;LECBBAS
LECBVMS;LECBVNI
LECBVNI;LECBVNI
LECBVVI;LECBVNI
LECBVVS;
LEBL1234DXE;
LEBL1234DXN;
LEBL1234DXW;
LEBL1234E;
LEBL1234W;
LEBL123E;
LEBL124E;
LEBL124N;
LEBL12E;LECLALIM2
LEBL12E;LECLF1
LEBL12FXW;
LEBL12N;LECLALIM2
LEBL12N;LECLF1
LEBL12W;LECLALIM2
LEBL12W;LECLF1
LEBL12XE;
LEBL12XN;
LEBL134N;
LEBL134W;
LEBL14E;LECLF1
LEBL14E;LECLT4
LEBL14N;LECLF1
LEBL14N;LECLT4
LEBL14W;LECLF1
LEBL14W;LECLT4
LEBL1FIW;
LEBL23E;LECLALIM2
LEBL23E;LECLT3
LEBL23FW;
LEBL23N;LECLALIM2
LEBL23N;LECLT3
LEBL23W;LECLALIM2
LEBL23W;LECLT3
LEBL2FIW;LECLALIM2
LEBL2FIW;LECLFINAL
LEBL2FN;LECLALIM2
LEBL2FN;LECLFINAL
LEBL2XE;LECLALIM2
LEBL2XE;LECLXAR
LEBL2XN;LECLALIM2
LEBL2XN;LECLXAR
LEBL2XW;LECLALIM2
LEBL2XW;LECLXAR
LEBL34DE;
LEBL34DN;
LEBL34DW;
LEBL34E;LECLT3
LEBL34E;LECLT4
LEBL34FDE;
LEBL34FDN;
LEBL34FE;
LEBL34N;LECLT3
LEBL34N;LECLT4
LEBL34W;LECLT3
LEBL34W;LECLT4
LEBL3DE;LECLDDS
LEBL3DE;LECLT3
LEBL3DN;LECLDDS
LEBL3DN;LECLT3
LEBL3DW;LECLDDS
LEBL3DW;LECLT3
LEBL3FIE;LECLFINAL
LEBL3FIE;LECLT3
LEBL3FN;LECLFINAL
LEBL3FN;LECLT3
LEBL4DDE;LECLDDN
LEBL4DDE;LECLDDS
LEBL4DDE;LECLT4
LEBL4DDN;LECLDDN
LEBL4DDN;LECLDDS
LEBL4DDN;LECLT4
LEBL4DE;LECLDDN
LEBL4DE;LECLT4
LEBL4DN;LECLDDN
LEBL4DN;LECLT4
LEBL4DW;LECLDDN
LEBL4DW;LECLT4
LEBL4FIE;LECLFINAL
LEBL4FIE;LECLT4
LEBLALB;
LEBLCORE;
LEBLD1E;LECLF1
LEBLD1N;LECLF1
LEBLDDI;LECLDDN
LEBLDDI;LECLDDS
LEBLDDN;LECLDDN
LEBLDDS;LECLDDS
LEBLDDX;
LEBLF02;LECLFINAL
LEBLF07;LECLFINAL
LEBLF1W;LECLF1
LEBLF25;LECLFINAL
LEBLT1E;LECLF1
LEBLT1N;LECLF1
LEBLT1W;LECLF1
LEBLT2E;LECLALIM2
LEBLT2N;LECLALIM2
LEBLT2W;LECLALIM2
LEBLT3E;LECLT3
LEBLT3N;LECLT3
LEBLT3W;LECLT3
LEBLT4E;LECLT4
LEBLT4N;LECLT4
LEBLT4W;LECLT4
LEBLTGR;LECLTGR
LEBLXAL;LECLXAR
LEBLXAR;LECLXAR
