SECTOR;Sectores Elementales
GCCCAAC;GCCCAAC
GCCCACW;GCCCAPP2
GCCCCES;GCCCRCE
GCCCCWS;GCCCRCW
GCCCD26;GCCCAPP1
GCCCF03;GCCCFEED
GCCCF21;GCCCFEED
GCCCFCN;GCCCAPP2
GCCCFCW;GCCCAPP1
GCCCGCN;GCCCFINAL
GCCCGCS;GCCCFINAL
GCCCIGC;GCCCFEED
GCCCIGC;GCCCFINAL
GCCCINB;GCCCAPP1
GCCCINB;GCCCAPP2
GCCCNWW;
GCCCOCE;GCCCOCE
GCCCOWS;GCCCOCE
GCCCR2E;GCCCRNE
GCCCR3W;
GCCCRC2;GCCCRCE
GCCCRC2;GCCCRCW
GCCCRCE;GCCCRCE
GCCCRCS;GCCCRCE
GCCCRCS;GCCCRCW
GCCCRCW;
GCCCRE2;GCCCRCE
GCCCRE2;GCCCRNE
GCCCRES;GCCCRCE
GCCCRES;GCCCRNE
GCCCRNE;GCCCRNE
GCCCROW;GCCCOCE
GCCCRU4;GCCCRWS
GCCCRU6;
GCCCRW3;GCCCRCW
GCCCRW4;GCCCRCW
GCCCRW4;GCCCRWS
GCCCRWS;GCCCRWS
GCCCT13;
GCCCTES;GCCCAAC
GCCCTES;GCCCRNE
GCCCTM3;
GCCCTW2;
GCCCTW5;GCCCAPP1
GCCCTW5;GCCCAPP2
GCCCUW4;
