Sectorizacion;Sector;Volumen;Ruta
A1A;GCCCTM3;AAC;Canarias
A1A;GCCCTM3;ACW;Canarias
A1A;GCCCTM3;FCN;Canarias
A1A;GCCCTM3;FCS;Canarias
A1A;GCCCTM3;FGC;Canarias
A1A;GCCCTM3;GCN;Canarias
A1A;GCCCTM3;GCS;Canarias
A2A;GCCCAAC;AAC;Canarias
A2A;GCCCTW2;ACW;Canarias
A2A;GCCCTW2;FCN;Canarias
A2A;GCCCTW2;FCS;Canarias
A2A;GCCCTW2;FGC;Canarias
A2A;GCCCTW2;GCN;Canarias
A2A;GCCCTW2;GCS;Canarias
A3A;GCCCAAC;AAC;Canarias
A3A;GCCCIGC;FGC;Canarias
A3A;GCCCIGC;GCN;Canarias
A3A;GCCCIGC;GCS;Canarias
A3A;GCCCINB;ACW;Canarias
A3A;GCCCINB;FCN;Canarias
A3A;GCCCINB;FCS;Canarias
A4A;GCCCAAC;AAC;Canarias
A4A;GCCCF03;FGC;Canarias
A4A;GCCCF03;GCN;Canarias
A4A;GCCCGCS;GCS;Canarias
A4A;GCCCINB;ACW;Canarias
A4A;GCCCINB;FCN;Canarias
A4A;GCCCINB;FCS;Canarias
A4B;GCCCAAC;AAC;Canarias
A4B;GCCCACW;ACW;Canarias
A4B;GCCCFCW;FCN;Canarias
A4B;GCCCFCW;FCS;Canarias
A4B;GCCCIGC;FGC;Canarias
A4B;GCCCIGC;GCN;Canarias
A4B;GCCCIGC;GCS;Canarias
A4C;GCCCAAC;AAC;Canarias
A4C;GCCCF21;FGC;Canarias
A4C;GCCCF21;GCS;Canarias
A4C;GCCCGCN;GCN;Canarias
A4C;GCCCINB;ACW;Canarias
A4C;GCCCINB;FCN;Canarias
A4C;GCCCINB;FCS;Canarias
A4D;GCCCAAC;AAC;Canarias
A4D;GCCCD26;ACW;Canarias
A4D;GCCCD26;FCS;Canarias
A4D;GCCCFCN;FCN;Canarias
A4D;GCCCIGC;FGC;Canarias
A4D;GCCCIGC;GCN;Canarias
A4D;GCCCIGC;GCS;Canarias
A5A;GCCCAAC;AAC;Canarias
A5A;GCCCACW;ACW;Canarias
A5A;GCCCF03;FGC;Canarias
A5A;GCCCF03;GCN;Canarias
A5A;GCCCFCW;FCN;Canarias
A5A;GCCCFCW;FCS;Canarias
A5A;GCCCGCS;GCS;Canarias
A5B;GCCCAAC;AAC;Canarias
A5B;GCCCD26;ACW;Canarias
A5B;GCCCD26;FCS;Canarias
A5B;GCCCF03;FGC;Canarias
A5B;GCCCF03;GCN;Canarias
A5B;GCCCFCN;FCN;Canarias
A5B;GCCCGCS;GCS;Canarias
A5C;GCCCAAC;AAC;Canarias
A5C;GCCCACW;ACW;Canarias
A5C;GCCCF21;FGC;Canarias
A5C;GCCCF21;GCS;Canarias
A5C;GCCCFCW;FCN;Canarias
A5C;GCCCFCW;FCS;Canarias
A5C;GCCCGCN;GCN;Canarias
A5D;GCCCAAC;AAC;Canarias
A5D;GCCCD26;ACW;Canarias
A5D;GCCCD26;FCS;Canarias
A5D;GCCCF21;FGC;Canarias
A5D;GCCCF21;GCS;Canarias
A5D;GCCCFCN;FCN;Canarias
A5D;GCCCGCN;GCN;Canarias
R2A;GCCCOCE;OCE;Canarias
R2A;GCCCRU6;RCE;Canarias
R2A;GCCCRU6;RCW;Canarias
R2A;GCCCRU6;RNE;Canarias
R2A;GCCCRU6;RNW;Canarias
R2A;GCCCRU6;RST;Canarias
R2A;GCCCRU6;RWW;Canarias
R3A;GCCCOCE;OCE;Canarias
R3A;GCCCRES;RCE;Canarias
R3A;GCCCRES;RNE;Canarias
R3A;GCCCRES;RST;Canarias
R3A;GCCCRW3;RCW;Canarias
R3A;GCCCRW3;RNW;Canarias
R3A;GCCCRW3;RWW;Canarias
R3B;GCCCOCE;OCE;Canarias
R3B;GCCCRE2;RCE;Canarias
R3B;GCCCRE2;RNE;Canarias
R3B;GCCCRW4;RCW;Canarias
R3B;GCCCRW4;RNW;Canarias
R3B;GCCCRW4;RST;Canarias
R3B;GCCCRW4;RWW;Canarias
R4A;GCCCNWW;RNW;Canarias
R4A;GCCCNWW;RWW;Canarias
R4A;GCCCOCE;OCE;Canarias
R4A;GCCCRCS;RCE;Canarias
R4A;GCCCRCS;RCW;Canarias
R4A;GCCCRCS;RST;Canarias
R4A;GCCCRNE;RNE;Canarias
R4B;GCCCOCE;OCE;Canarias
R4B;GCCCRC2;RCE;Canarias
R4B;GCCCRC2;RCW;Canarias
R4B;GCCCRNE;RNE;Canarias
R4B;GCCCRWS;RNW;Canarias
R4B;GCCCRWS;RST;Canarias
R4B;GCCCRWS;RWW;Canarias
R4C;GCCCNWW;RNW;Canarias
R4C;GCCCNWW;RWW;Canarias
R4C;GCCCOCE;OCE;Canarias
R4C;GCCCR2E;RNE;Canarias
R4C;GCCCR2E;RST;Canarias
R4C;GCCCRC2;RCE;Canarias
R4C;GCCCRC2;RCW;Canarias
R4D;GCCCOCE;OCE;Canarias
R4D;GCCCRCE;RCE;Canarias
R4D;GCCCRNE;RNE;Canarias
R4D;GCCCRW4;RCW;Canarias
R4D;GCCCRW4;RNW;Canarias
R4D;GCCCRW4;RST;Canarias
R4D;GCCCRW4;RWW;Canarias
R4E;GCCCCES;RCE;Canarias
R4E;GCCCCES;RST;Canarias
R4E;GCCCOCE;OCE;Canarias
R4E;GCCCRNE;RNE;Canarias
R4E;GCCCRW3;RCW;Canarias
R4E;GCCCRW3;RNW;Canarias
R4E;GCCCRW3;RWW;Canarias
R4F;GCCCCWS;RCW;Canarias
R4F;GCCCCWS;RST;Canarias
R4F;GCCCNWW;RNW;Canarias
R4F;GCCCNWW;RWW;Canarias
R4F;GCCCOCE;OCE;Canarias
R4F;GCCCRE2;RCE;Canarias
R4F;GCCCRE2;RNE;Canarias
R4G;GCCCOCE;OCE;Canarias
R4G;GCCCR2E;RNE;Canarias
R4G;GCCCR2E;RST;Canarias
R4G;GCCCRCE;RCE;Canarias
R4G;GCCCRW3;RCW;Canarias
R4G;GCCCRW3;RNW;Canarias
R4G;GCCCRW3;RWW;Canarias
R4H;GCCCNWW;RNW;Canarias
R4H;GCCCNWW;RWW;Canarias
R4H;GCCCOCE;OCE;Canarias
R4H;GCCCRCW;RCW;Canarias
R4H;GCCCRES;RCE;Canarias
R4H;GCCCRES;RNE;Canarias
R4H;GCCCRES;RST;Canarias
R5A;GCCCOCE;OCE;Canarias
R5A;GCCCRCE;RCE;Canarias
R5A;GCCCRCW;RCW;Canarias
R5A;GCCCRNE;RNE;Canarias
R5A;GCCCRWS;RNW;Canarias
R5A;GCCCRWS;RST;Canarias
R5A;GCCCRWS;RWW;Canarias
R5B;GCCCCWS;RCW;Canarias
R5B;GCCCCWS;RST;Canarias
R5B;GCCCNWW;RNW;Canarias
R5B;GCCCNWW;RWW;Canarias
R5B;GCCCOCE;OCE;Canarias
R5B;GCCCRCE;RCE;Canarias
R5B;GCCCRNE;RNE;Canarias
R5C;GCCCCES;RCE;Canarias
R5C;GCCCCES;RST;Canarias
R5C;GCCCNWW;RNW;Canarias
R5C;GCCCNWW;RWW;Canarias
R5C;GCCCOCE;OCE;Canarias
R5C;GCCCRCW;RCW;Canarias
R5C;GCCCRNE;RNE;Canarias
R5D;GCCCNWW;RNW;Canarias
R5D;GCCCNWW;RWW;Canarias
R5D;GCCCOCE;OCE;Canarias
R5D;GCCCR2E;RNE;Canarias
R5D;GCCCR2E;RST;Canarias
R5D;GCCCRCE;RCE;Canarias
R5D;GCCCRCW;RCW;Canarias
