CONTROLADORES;ACREDITACION;NUCLEO;TURNO
C1;PTD;Ruta Este;MC
C2;PTD;Ruta Este;MC
C3;PTD;Ruta Este;MC
C4;PTD;Ruta Este;MC
C5;PTD;Ruta Este;MC
C6;PTD;Ruta Este;MC
C7;PTD;Ruta Este;MC
C8;PTD;Ruta Oeste;MC
C9;PTD;Ruta Oeste;MC
C10;PTD;Ruta Oeste;MC
C11;PTD;Ruta Oeste;MC
C12;PTD;Ruta Oeste;MC
C13;PTD;Ruta Oeste;MC
C14;PTD;Ruta Oeste;MC
C15;PTD;Ruta Oeste;MC
C16;PTD;Ruta Oeste;MC
C17;PTD;Ruta Oeste;MC
C18;PTD;Ruta Oeste;MC
C19;PTD;Ruta Oeste;MC
C20;PTD;Ruta Oeste;MC
C21;PTD;Ruta Oeste;MC
C22;PTD;Ruta Oeste;MC
C23;PTD;Ruta Oeste;MC
C24;PTD;Ruta Oeste;MC
