Momento Actual;16:40;;;;;;;;;;;;;;;;;;
-;50;50;50;50;50;50;50;45;;;;;;;;;;;
C1;lecbvni;LECBVNI;111;lecbvni;LECBVNI;111;lecbvni;LECBVNI;;;;;;;;;;;
C2;111;lecbvni;LECBVNI;111;lecbvni;LECBVNI;111;lecbvni;;;;;;;;;;;
C3;LECBVNI;111;lecbvni;LECBVNI;111;lecbvni;LECBVNI;111;;;;;;;;;;;
C12;lecbgoi;LECBGOI;111;lecbgoi;LECBGOI;111;lecbgoi;LECBGOI;;;;;;;;;;;
C13;111;lecbgoi;LECBGOI;111;lecbgoi;LECBGOI;111;lecbgoi;;;;;;;;;;;
C14;LECBGOI;111;lecbgoi;LECBGOI;111;lecbgoi;LECBGOI;111;;;;;;;;;;;
C15;lecbp2r;LECBP2R;111;lecbp2r;LECBP2R;111;lecbp2r;LECBP2R;;;;;;;;;;;
C16;111;lecbp2r;LECBP2R;111;lecbp2r;LECBP2R;111;lecbp2r;;;;;;;;;;;
C17;LECBP2R;111;lecbp2r;LECBP2R;111;lecbp2r;LECBP2R;111;;;;;;;;;;;
-;40;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;15
C4;lecbbas;111;111;LECBMNI;LECBMNI;LECBMNI;lecbmni;lecbmni;lecbmni;111;111;LECBCCC;LECBCCC;LECBCCC;lecbccc;lecbccc;lecbccc;111;111
C5;LECBBAS;111;111;lecbmni;lecbmni;lecbmni;LECBMNI;LECBMNI;LECBMNI;111;111;lecbccc;lecbccc;lecbccc;LECBCCC;LECBCCC;LECBCCC;111;111
C6;lecbmni;lecbmni;lecbmni;111;111;LECBCCC;LECBCCC;LECBCCC;lecbccc;lecbccc;lecbccc;111;111;LECBBAS;LECBBAS;LECBBAS;lecbbas;lecbbas;lecbbas
C7;LECBMNI;LECBMNI;LECBMNI;111;111;lecbccc;lecbccc;lecbccc;LECBCCC;LECBCCC;LECBCCC;111;111;lecbbas;lecbbas;lecbbas;LECBBAS;LECBBAS;LECBBAS
C8;LECBCCC;LECBCCC;lecbccc;lecbccc;lecbccc;111;111;LECBBAS;LECBBAS;LECBBAS;lecbbas;lecbbas;lecbbas;111;111;LECBMNI;LECBMNI;LECBMNI;lecbmni
C9;lecbccc;lecbccc;LECBCCC;LECBCCC;LECBCCC;111;111;lecbbas;lecbbas;lecbbas;LECBBAS;LECBBAS;LECBBAS;111;111;lecbmni;lecbmni;lecbmni;LECBMNI
C10;111;LECBBAS;LECBBAS;LECBBAS;lecbbas;lecbbas;lecbbas;111;111;LECBMNI;LECBMNI;LECBMNI;lecbmni;lecbmni;lecbmni;111;111;LECBCCC;LECBCCC
C11;111;lecbbas;lecbbas;lecbbas;LECBBAS;LECBBAS;LECBBAS;111;111;lecbmni;lecbmni;lecbmni;LECBMNI;LECBMNI;LECBMNI;111;111;lecbccc;lecbccc
C18;lecblvl;111;111;LECBLVS;LECBLVS;LECBLVS;lecblvs;lecblvs;lecblvs;111;111;LECBLVU;LECBLVU;LECBLVU;lecblvu;lecblvu;lecblvu;111;111
C19;LECBLVL;111;111;lecblvs;lecblvs;lecblvs;LECBLVS;LECBLVS;LECBLVS;111;111;lecblvu;lecblvu;lecblvu;LECBLVU;LECBLVU;LECBLVU;111;111
C20;lecblvs;lecblvs;lecblvs;111;111;LECBLVU;LECBLVU;LECBLVU;lecblvu;lecblvu;lecblvu;111;111;LECBLVL;LECBLVL;LECBLVL;lecblvl;lecblvl;lecblvl
C21;LECBLVS;LECBLVS;LECBLVS;111;111;lecblvu;lecblvu;lecblvu;LECBLVU;LECBLVU;LECBLVU;111;111;lecblvl;lecblvl;lecblvl;LECBLVL;LECBLVL;LECBLVL
C22;LECBLVU;LECBLVU;lecblvu;lecblvu;lecblvu;111;111;LECBLVL;LECBLVL;LECBLVL;lecblvl;lecblvl;lecblvl;111;111;LECBLVS;LECBLVS;LECBLVS;lecblvs
C23;lecblvu;lecblvu;LECBLVU;LECBLVU;LECBLVU;111;111;lecblvl;lecblvl;lecblvl;LECBLVL;LECBLVL;LECBLVL;111;111;lecblvs;lecblvs;lecblvs;LECBLVS
C24;111;LECBLVL;LECBLVL;LECBLVL;lecblvl;lecblvl;lecblvl;111;111;LECBLVS;LECBLVS;LECBLVS;lecblvs;lecblvs;lecblvs;111;111;LECBLVU;LECBLVU
C25;111;lecblvl;lecblvl;lecblvl;LECBLVL;LECBLVL;LECBLVL;111;111;lecblvs;lecblvs;lecblvs;LECBLVS;LECBLVS;LECBLVS;111;111;lecblvu;lecblvu
