CONTROLADORES;ACREDITACION (PTD|CON);NUCLEO;TURNO
C1;PTD;Barcelona Ruta Este;TC
C2;PTD;Barcelona Ruta Este;TC
C3;PTD;Barcelona Ruta Este;TC
C4;PTD;Barcelona Ruta Este;TC
C5;PTD;Barcelona Ruta Este;TC
C6;PTD;Barcelona Ruta Este;TC
C7;PTD;Barcelona Ruta Este;TC
C8;PTD;Barcelona Ruta Este;TC
C9;PTD;Barcelona Ruta Este;TC
C10;PTD;Barcelona Ruta Este;TC
C11;PTD;Barcelona Ruta Este;TC
C12;PTD;Barcelona Ruta Oeste;TC
C13;PTD;Barcelona Ruta Oeste;TC
C14;PTD;Barcelona Ruta Oeste;TC
C15;PTD;Barcelona Ruta Oeste;TC
C16;PTD;Barcelona Ruta Oeste;TC
C17;PTD;Barcelona Ruta Oeste;TC
C18;PTD;Barcelona Ruta Oeste;TC
C19;PTD;Barcelona Ruta Oeste;TC
C20;PTD;Barcelona Ruta Oeste;TC
C21;PTD;Barcelona Ruta Oeste;TC
C22;PTD;Barcelona Ruta Oeste;TC
C23;PTD;Barcelona Ruta Oeste;TC
C24;PTD;Barcelona Ruta Oeste;TC
C25;PTD;Barcelona Ruta Oeste;TC
