Sectorizacion;Sector;Volumen;Nucleo
1A;LECMR1I;ASL;Madrid Ruta 1
1A;LECMR1I;ASU;Madrid Ruta 1
1A;LECMR1I;BLL;Madrid Ruta 1
1A;LECMR1I;BLU;Madrid Ruta 1
1A;LECMR1I;DGL;Madrid Ruta 1
1A;LECMR1I;DGU;Madrid Ruta 1
1A;LECMR1I;PAL;Madrid Ruta 1
1A;LECMR1I;PAU;Madrid Ruta 1
1A;LECMR1I;SAL;Madrid Ruta 1
1A;LECMR1I;SAU;Madrid Ruta 1
2A;LECMDPI;DGL;Madrid Ruta 1
2A;LECMDPI;DGU;Madrid Ruta 1
2A;LECMDPI;PAL;Madrid Ruta 1
2A;LECMDPI;PAU;Madrid Ruta 1
2A;LECMSAB;ASL;Madrid Ruta 1
2A;LECMSAB;ASU;Madrid Ruta 1
2A;LECMSAB;BLL;Madrid Ruta 1
2A;LECMSAB;BLU;Madrid Ruta 1
2A;LECMSAB;SAL;Madrid Ruta 1
2A;LECMSAB;SAU;Madrid Ruta 1
2B;LECMBDP;BLL;Madrid Ruta 1
2B;LECMBDP;BLU;Madrid Ruta 1
2B;LECMBDP;DGL;Madrid Ruta 1
2B;LECMBDP;DGU;Madrid Ruta 1
2B;LECMBDP;PAL;Madrid Ruta 1
2B;LECMBDP;PAU;Madrid Ruta 1
2B;LECMSAI;ASL;Madrid Ruta 1
2B;LECMSAI;ASU;Madrid Ruta 1
2B;LECMSAI;SAL;Madrid Ruta 1
2B;LECMSAI;SAU;Madrid Ruta 1
3A;LECMDGI;DGL;Madrid Ruta 1
3A;LECMDGI;DGU;Madrid Ruta 1
3A;LECMPAI;PAL;Madrid Ruta 1
3A;LECMPAI;PAU;Madrid Ruta 1
3A;LECMSAB;ASL;Madrid Ruta 1
3A;LECMSAB;ASU;Madrid Ruta 1
3A;LECMSAB;BLL;Madrid Ruta 1
3A;LECMSAB;BLU;Madrid Ruta 1
3A;LECMSAB;SAL;Madrid Ruta 1
3A;LECMSAB;SAU;Madrid Ruta 1
3B;LECMBLI;BLL;Madrid Ruta 1
3B;LECMBLI;BLU;Madrid Ruta 1
3B;LECMDPI;DGL;Madrid Ruta 1
3B;LECMDPI;DGU;Madrid Ruta 1
3B;LECMDPI;PAL;Madrid Ruta 1
3B;LECMDPI;PAU;Madrid Ruta 1
3B;LECMSAI;ASL;Madrid Ruta 1
3B;LECMSAI;ASU;Madrid Ruta 1
3B;LECMSAI;SAL;Madrid Ruta 1
3B;LECMSAI;SAU;Madrid Ruta 1
3C;LECMBDI;BLL;Madrid Ruta 1
3C;LECMBDI;BLU;Madrid Ruta 1
3C;LECMBDI;DGL;Madrid Ruta 1
3C;LECMBDI;DGU;Madrid Ruta 1
3C;LECMPAI;PAL;Madrid Ruta 1
3C;LECMPAI;PAU;Madrid Ruta 1
3C;LECMSAI;ASL;Madrid Ruta 1
3C;LECMSAI;ASU;Madrid Ruta 1
3C;LECMSAI;SAL;Madrid Ruta 1
3C;LECMSAI;SAU;Madrid Ruta 1
3D;LECMASI;ASL;Madrid Ruta 1
3D;LECMASI;ASU;Madrid Ruta 1
3D;LECMBDP;BLL;Madrid Ruta 1
3D;LECMBDP;BLU;Madrid Ruta 1
3D;LECMBDP;DGL;Madrid Ruta 1
3D;LECMBDP;DGU;Madrid Ruta 1
3D;LECMBDP;PAL;Madrid Ruta 1
3D;LECMBDP;PAU;Madrid Ruta 1
3D;LECMSAN;SAL;Madrid Ruta 1
3D;LECMSAN;SAU;Madrid Ruta 1
4A;LECMBLI;BLL;Madrid Ruta 1
4A;LECMBLI;BLU;Madrid Ruta 1
4A;LECMDGI;DGL;Madrid Ruta 1
4A;LECMDGI;DGU;Madrid Ruta 1
4A;LECMPAI;PAL;Madrid Ruta 1
4A;LECMPAI;PAU;Madrid Ruta 1
4A;LECMSAI;ASL;Madrid Ruta 1
4A;LECMSAI;ASU;Madrid Ruta 1
4A;LECMSAI;SAL;Madrid Ruta 1
4A;LECMSAI;SAU;Madrid Ruta 1
4B;LECMASI;ASL;Madrid Ruta 1
4B;LECMASI;ASU;Madrid Ruta 1
4B;LECMBLI;BLL;Madrid Ruta 1
4B;LECMBLI;BLU;Madrid Ruta 1
4B;LECMDPI;DGL;Madrid Ruta 1
4B;LECMDPI;DGU;Madrid Ruta 1
4B;LECMDPI;PAL;Madrid Ruta 1
4B;LECMDPI;PAU;Madrid Ruta 1
4B;LECMSAN;SAL;Madrid Ruta 1
4B;LECMSAN;SAU;Madrid Ruta 1
4C;LECMASI;ASL;Madrid Ruta 1
4C;LECMASI;ASU;Madrid Ruta 1
4C;LECMBDI;BLL;Madrid Ruta 1
4C;LECMBDI;BLU;Madrid Ruta 1
4C;LECMBDI;DGL;Madrid Ruta 1
4C;LECMBDI;DGU;Madrid Ruta 1
4C;LECMPAI;PAL;Madrid Ruta 1
4C;LECMPAI;PAU;Madrid Ruta 1
4C;LECMSAN;SAL;Madrid Ruta 1
4C;LECMSAN;SAU;Madrid Ruta 1
4D;LECMASU;ASU;Madrid Ruta 1
4D;LECMBDP;BLL;Madrid Ruta 1
4D;LECMBDP;BLU;Madrid Ruta 1
4D;LECMBDP;DGL;Madrid Ruta 1
4D;LECMBDP;DGU;Madrid Ruta 1
4D;LECMBDP;PAL;Madrid Ruta 1
4D;LECMBDP;PAU;Madrid Ruta 1
4D;LECMNWL;ASL;Madrid Ruta 1
4D;LECMNWL;SAL;Madrid Ruta 1
4D;LECMSAU;SAU;Madrid Ruta 1
4E;LECMBDI;BLL;Madrid Ruta 1
4E;LECMBDI;BLU;Madrid Ruta 1
4E;LECMBDI;DGL;Madrid Ruta 1
4E;LECMBDI;DGU;Madrid Ruta 1
4E;LECMPAL;PAL;Madrid Ruta 1
4E;LECMPAU;PAU;Madrid Ruta 1
4E;LECMSAI;ASL;Madrid Ruta 1
4E;LECMSAI;ASU;Madrid Ruta 1
4E;LECMSAI;SAL;Madrid Ruta 1
4E;LECMSAI;SAU;Madrid Ruta 1
5A;LECMASI;ASL;Madrid Ruta 1
5A;LECMASI;ASU;Madrid Ruta 1
5A;LECMBLI;BLL;Madrid Ruta 1
5A;LECMBLI;BLU;Madrid Ruta 1
5A;LECMDGI;DGL;Madrid Ruta 1
5A;LECMDGI;DGU;Madrid Ruta 1
5A;LECMPAI;PAL;Madrid Ruta 1
5A;LECMPAI;PAU;Madrid Ruta 1
5A;LECMSAN;SAL;Madrid Ruta 1
5A;LECMSAN;SAU;Madrid Ruta 1
5B;LECMBLI;BLL;Madrid Ruta 1
5B;LECMBLI;BLU;Madrid Ruta 1
5B;LECMDGI;DGL;Madrid Ruta 1
5B;LECMDGI;DGU;Madrid Ruta 1
5B;LECMPAL;PAL;Madrid Ruta 1
5B;LECMPAU;PAU;Madrid Ruta 1
5B;LECMSAI;ASL;Madrid Ruta 1
5B;LECMSAI;ASU;Madrid Ruta 1
5B;LECMSAI;SAL;Madrid Ruta 1
5B;LECMSAI;SAU;Madrid Ruta 1
5C;LECMBLI;BLL;Madrid Ruta 1
5C;LECMBLI;BLU;Madrid Ruta 1
5C;LECMDGL;DGL;Madrid Ruta 1
5C;LECMDGU;DGU;Madrid Ruta 1
5C;LECMPAI;PAL;Madrid Ruta 1
5C;LECMPAI;PAU;Madrid Ruta 1
5C;LECMSAI;ASL;Madrid Ruta 1
5C;LECMSAI;ASU;Madrid Ruta 1
5C;LECMSAI;SAL;Madrid Ruta 1
5C;LECMSAI;SAU;Madrid Ruta 1
5D;LECMASU;ASU;Madrid Ruta 1
5D;LECMBDI;BLL;Madrid Ruta 1
5D;LECMBDI;BLU;Madrid Ruta 1
5D;LECMBDI;DGL;Madrid Ruta 1
5D;LECMBDI;DGU;Madrid Ruta 1
5D;LECMNWL;ASL;Madrid Ruta 1
5D;LECMNWL;SAL;Madrid Ruta 1
5D;LECMPAI;PAL;Madrid Ruta 1
5D;LECMPAI;PAU;Madrid Ruta 1
5D;LECMSAU;SAU;Madrid Ruta 1
5E;LECMASU;ASU;Madrid Ruta 1
5E;LECMBLI;BLL;Madrid Ruta 1
5E;LECMBLI;BLU;Madrid Ruta 1
5E;LECMDPI;DGL;Madrid Ruta 1
5E;LECMDPI;DGU;Madrid Ruta 1
5E;LECMDPI;PAL;Madrid Ruta 1
5E;LECMDPI;PAU;Madrid Ruta 1
5E;LECMNWL;ASL;Madrid Ruta 1
5E;LECMNWL;SAL;Madrid Ruta 1
5E;LECMSAU;SAU;Madrid Ruta 1
6A;LECMASI;ASL;Madrid Ruta 1
6A;LECMASI;ASU;Madrid Ruta 1
6A;LECMBLI;BLL;Madrid Ruta 1
6A;LECMBLI;BLU;Madrid Ruta 1
6A;LECMDGL;DGL;Madrid Ruta 1
6A;LECMDGU;DGU;Madrid Ruta 1
6A;LECMPAI;PAL;Madrid Ruta 1
6A;LECMPAI;PAU;Madrid Ruta 1
6A;LECMSAN;SAL;Madrid Ruta 1
6A;LECMSAN;SAU;Madrid Ruta 1
6B;LECMASI;ASL;Madrid Ruta 1
6B;LECMASI;ASU;Madrid Ruta 1
6B;LECMBLI;BLL;Madrid Ruta 1
6B;LECMBLI;BLU;Madrid Ruta 1
6B;LECMDGI;DGL;Madrid Ruta 1
6B;LECMDGI;DGU;Madrid Ruta 1
6B;LECMPAL;PAL;Madrid Ruta 1
6B;LECMPAU;PAU;Madrid Ruta 1
6B;LECMSAN;SAL;Madrid Ruta 1
6B;LECMSAN;SAU;Madrid Ruta 1
6C;LECMBLI;BLL;Madrid Ruta 1
6C;LECMBLI;BLU;Madrid Ruta 1
6C;LECMDGL;DGL;Madrid Ruta 1
6C;LECMDGU;DGU;Madrid Ruta 1
