SECTOR;Sectores Elementales
LECP12O;
LECPALP;
LECPAPI;
LECPAPM;
LECPAPO;
LECPAPP;LECPFINAL
LECPAPR;
LECPDEO;LECPDES
LECPDEX;LECPDES
LECPDWO;LECPDES
LECPDWX;LECPDES
LECPF12;LECPA1
LECPF12;LECPA2
LECPF12;LECPDES
LECPF1O;LECPA1
LECPF1X;LECPA1
LECPF2M;LECPA2
LECPF2M;LECPMXX
LECPF2X;LECPA2
LECPGIM;
LECPGIO;LECPGODOX
LECPGIO;LECPIAX
LECPGIO;LECPIRX
LECPGIX;LECPIAX
LECPGIX;LECPIRX
LECPGMX;LECPMXX
LECPGOM;LECPGODOX
LECPGOM;LECPMXX
LECPGOX;LECPGODOX
LECPGXX;
LECPIAE;
LECPIAW;
LECPIAX;LECPIAX
LECPIRE;
LECPIRW;
LECPIRX;LECPIRX
LECPIXX;LECPIAX
LECPIXX;LECPIRX
LECPL1E;LECPA1
LECPL1W;LECPA1
LECPL2E;LECPA2
LECPL2W;LECPA2
LECPMXX;LECPMXX
LECPPMO;LECPGODOX
LECPPMO;LECPIRX
LECPPMO;LECPMXX
LECPPMX;LECPIRX
LECPPMX;LECPMXX
LECPPOX;LECPGODOX
LECPPOX;LECPIRX
LECPPXX;LECPIRX
LECPRUT;
