[];'LECP12O';'LECPALP';'LECPAPM';'LECPAPO';'LECPAPP';'LECPAPR';'LECPDEO';'LECPDEX';'LECPDWO';'LECPDWX';'LECPF12';'LECPF1O';'LECPF1X';'LECPF2M';'LECPF2X';'LECPGIM';'LECPGIO';'LECPGIX';'LECPGMX';'LECPGOM';'LECPGOX';'LECPGXX';'LECPIAE';'LECPIAW';'LECPIRE';'LECPIRW';'LECPIXX';'LECPL1E';'LECPL1W';'LECPL2E';'LECPL2W';'LECPMXX';'LECPRUT'
'LECP12O';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1
'LECPALP';1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
'LECPAPM';1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1
'LECPAPO';1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;1
'LECPAPP';0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'LECPAPR';1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
'LECPDEO';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1
'LECPDEX';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
'LECPDWO';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1
'LECPDWX';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
'LECPF12';1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
'LECPF1O';1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1
'LECPF1X';1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
'LECPF2M';1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1
'LECPF2X';1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
'LECPGIM';0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1
'LECPGIO';1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1
'LECPGIX';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1
'LECPGMX';0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
'LECPGOM';1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1
'LECPGOX';1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1
'LECPGXX';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1
'LECPIAE';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1
'LECPIAW';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1
'LECPIRE';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1
'LECPIRW';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1
'LECPIXX';0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;1
'LECPL1E';1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
'LECPL1W';1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
'LECPL2E';1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
'LECPL2W';1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
'LECPMXX';0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
'LECPRUT';1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1
