Sectorizacion;Sector;Volumen;Nucleo
1A;LECPALP;APP;Palma APP
1A;LECPALP;DE1;Palma APP
1A;LECPALP;DE2;Palma APP
1A;LECPALP;DSX;Palma APP
1A;LECPALP;DW1;Palma APP
1A;LECPALP;DW2;Palma APP
1A;LECPALP;GXX;Palma APP
1A;LECPALP;IA06;Palma APP
1A;LECPALP;IA24;Palma APP
1A;LECPALP;IAX;Palma APP
1A;LECPALP;IRX;Palma APP
1A;LECPALP;LNX;Palma APP
1A;LECPALP;LSX;Palma APP
1A;LECPALP;MXX;Palma APP
1A;LECPALP;OXX;Palma APP
1B;LECPALP;APP;Palma APP
1B;LECPALP;DE1;Palma APP
1B;LECPALP;DE2;Palma APP
1B;LECPALP;DSX;Palma APP
1B;LECPALP;DW1;Palma APP
1B;LECPALP;DW2;Palma APP
1B;LECPALP;GXX;Palma APP
1B;LECPALP;IA06;Palma APP
1B;LECPALP;IA24;Palma APP
1B;LECPALP;IAX;Palma APP
1B;LECPALP;IRX;Palma APP
1B;LECPALP;LNX;Palma APP
1B;LECPALP;LSX;Palma APP
1B;LECPALP;MXX;Palma APP
1B;LECPALP;OXX;Palma APP
2A;LECPAPR;APP;Palma APP
2A;LECPAPR;DE1;Palma APP
2A;LECPAPR;DE2;Palma APP
2A;LECPAPR;DSX;Palma APP
2A;LECPAPR;DW1;Palma APP
2A;LECPAPR;DW2;Palma APP
2A;LECPAPR;LNX;Palma APP
2A;LECPAPR;LSX;Palma APP
2A;LECPRUT;GXX;Palma APP
2A;LECPRUT;IA06;Palma APP
2A;LECPRUT;IA24;Palma APP
2A;LECPRUT;IAX;Palma APP
2A;LECPRUT;IRX;Palma APP
2A;LECPRUT;MXX;Palma APP
2A;LECPRUT;OXX;Palma APP
2B;LECPAPO;APP;Palma APP
2B;LECPAPO;DE1;Palma APP
2B;LECPAPO;DE2;Palma APP
2B;LECPAPO;DSX;Palma APP
2B;LECPAPO;DW1;Palma APP
2B;LECPAPO;DW2;Palma APP
2B;LECPAPO;LNX;Palma APP
2B;LECPAPO;LSX;Palma APP
2B;LECPAPO;OXX;Palma APP
2B;LECPGIM;GXX;Palma APP
2B;LECPGIM;IA06;Palma APP
2B;LECPGIM;IA24;Palma APP
2B;LECPGIM;IAX;Palma APP
2B;LECPGIM;IRX;Palma APP
2B;LECPGIM;MXX;Palma APP
2C;LECPAPM;APP;Palma APP
2C;LECPAPM;DE1;Palma APP
2C;LECPAPM;DE2;Palma APP
2C;LECPAPM;DSX;Palma APP
2C;LECPAPM;DW1;Palma APP
2C;LECPAPM;DW2;Palma APP
2C;LECPAPM;LNX;Palma APP
2C;LECPAPM;LSX;Palma APP
2C;LECPAPM;MXX;Palma APP
2C;LECPGIO;GXX;Palma APP
2C;LECPGIO;IA06;Palma APP
2C;LECPGIO;IA24;Palma APP
2C;LECPGIO;IAX;Palma APP
2C;LECPGIO;IRX;Palma APP
2C;LECPGIO;OXX;Palma APP
3A;LECPAPR;APP;Palma APP
3A;LECPAPR;DE1;Palma APP
3A;LECPAPR;DE2;Palma APP
3A;LECPAPR;DSX;Palma APP
3A;LECPAPR;DW1;Palma APP
3A;LECPAPR;DW2;Palma APP
3A;LECPAPR;LNX;Palma APP
3A;LECPAPR;LSX;Palma APP
3A;LECPGIO;GXX;Palma APP
3A;LECPGIO;IA06;Palma APP
3A;LECPGIO;IA24;Palma APP
3A;LECPGIO;IAX;Palma APP
3A;LECPGIO;IRX;Palma APP
3A;LECPGIO;OXX;Palma APP
3A;LECPMXX;MXX;Palma APP
3B;LECPAPP;APP;Palma APP
3B;LECPF12;DE1;Palma APP
3B;LECPF12;DE2;Palma APP
3B;LECPF12;DSX;Palma APP
3B;LECPF12;DW1;Palma APP
3B;LECPF12;DW2;Palma APP
3B;LECPF12;LNX;Palma APP
3B;LECPF12;LSX;Palma APP
3B;LECPRUT;GXX;Palma APP
3B;LECPRUT;IA06;Palma APP
3B;LECPRUT;IA24;Palma APP
3B;LECPRUT;IAX;Palma APP
3B;LECPRUT;IRX;Palma APP
3B;LECPRUT;MXX;Palma APP
3B;LECPRUT;OXX;Palma APP
3C;LECP12O;DE1;Palma APP
3C;LECP12O;DE2;Palma APP
3C;LECP12O;DSX;Palma APP
3C;LECP12O;DW1;Palma APP
3C;LECP12O;DW2;Palma APP
3C;LECP12O;LNX;Palma APP
3C;LECP12O;LSX;Palma APP
3C;LECP12O;OXX;Palma APP
3C;LECPAPP;APP;Palma APP
3C;LECPGIM;GXX;Palma APP
3C;LECPGIM;IA06;Palma APP
3C;LECPGIM;IA24;Palma APP
3C;LECPGIM;IAX;Palma APP
3C;LECPGIM;IRX;Palma APP
3C;LECPGIM;MXX;Palma APP
3D;LECPAPR;APP;Palma APP
3D;LECPAPR;DE1;Palma APP
3D;LECPAPR;DE2;Palma APP
3D;LECPAPR;DSX;Palma APP
3D;LECPAPR;DW1;Palma APP
3D;LECPAPR;DW2;Palma APP
3D;LECPAPR;LNX;Palma APP
3D;LECPAPR;LSX;Palma APP
3D;LECPGOM;GXX;Palma APP
3D;LECPGOM;MXX;Palma APP
3D;LECPGOM;OXX;Palma APP
3D;LECPIXX;IA06;Palma APP
3D;LECPIXX;IA24;Palma APP
3D;LECPIXX;IAX;Palma APP
3D;LECPIXX;IRX;Palma APP
3E;LECPAPO;APP;Palma APP
3E;LECPAPO;DE1;Palma APP
3E;LECPAPO;DE2;Palma APP
3E;LECPAPO;DSX;Palma APP
3E;LECPAPO;DW1;Palma APP
3E;LECPAPO;DW2;Palma APP
3E;LECPAPO;LNX;Palma APP
3E;LECPAPO;LSX;Palma APP
3E;LECPAPO;OXX;Palma APP
3E;LECPGMX;GXX;Palma APP
3E;LECPGMX;MXX;Palma APP
3E;LECPIXX;IA06;Palma APP
3E;LECPIXX;IA24;Palma APP
3E;LECPIXX;IAX;Palma APP
3E;LECPIXX;IRX;Palma APP
3F;LECPAPO;APP;Palma APP
3F;LECPAPO;DE1;Palma APP
3F;LECPAPO;DE2;Palma APP
3F;LECPAPO;DSX;Palma APP
3F;LECPAPO;DW1;Palma APP
3F;LECPAPO;DW2;Palma APP
3F;LECPAPO;LNX;Palma APP
3F;LECPAPO;LSX;Palma APP
3F;LECPAPO;OXX;Palma APP
3F;LECPGIX;GXX;Palma APP
3F;LECPGIX;IA06;Palma APP
3F;LECPGIX;IA24;Palma APP
3F;LECPGIX;IAX;Palma APP
3F;LECPGIX;IRX;Palma APP
3F;LECPMXX;MXX;Palma APP
4A;LECPAPP;APP;Palma APP
4A;LECPF12;DE1;Palma APP
4A;LECPF12;DE2;Palma APP
4A;LECPF12;DSX;Palma APP
4A;LECPF12;DW1;Palma APP
4A;LECPF12;DW2;Palma APP
4A;LECPF12;LNX;Palma APP
4A;LECPF12;LSX;Palma APP
4A;LECPGIO;GXX;Palma APP
4A;LECPGIO;IA06;Palma APP
4A;LECPGIO;IA24;Palma APP
4A;LECPGIO;IAX;Palma APP
4A;LECPGIO;IRX;Palma APP
4A;LECPGIO;OXX;Palma APP
4A;LECPMXX;MXX;Palma APP
4B;LECPAPP;APP;Palma APP
4B;LECPF1X;DE1;Palma APP
4B;LECPF1X;DW1;Palma APP
4B;LECPF1X;LNX;Palma APP
4B;LECPF2X;DE2;Palma APP
4B;LECPF2X;DSX;Palma APP
4B;LECPF2X;DW2;Palma APP
4B;LECPF2X;LSX;Palma APP
4B;LECPRUT;GXX;Palma APP
4B;LECPRUT;IA06;Palma APP
4B;LECPRUT;IA24;Palma APP
4B;LECPRUT;IAX;Palma APP
4B;LECPRUT;IRX;Palma APP
4B;LECPRUT;MXX;Palma APP
4B;LECPRUT;OXX;Palma APP
4C;LECPAPP;APP;Palma APP
4C;LECPF1O;DE1;Palma APP
4C;LECPF1O;DW1;Palma APP
4C;LECPF1O;LNX;Palma APP
4C;LECPF1O;OXX;Palma APP
4C;LECPF2X;DE2;Palma APP
4C;LECPF2X;DSX;Palma APP
4C;LECPF2X;DW2;Palma APP
4C;LECPF2X;LSX;Palma APP
4C;LECPGIM;GXX;Palma APP
4C;LECPGIM;IA06;Palma APP
4C;LECPGIM;IA24;Palma APP
4C;LECPGIM;IAX;Palma APP
4C;LECPGIM;IRX;Palma APP
4C;LECPGIM;MXX;Palma APP
4D;LECP12O;DE1;Palma APP
4D;LECP12O;DE2;Palma APP
4D;LECP12O;DSX;Palma APP
4D;LECP12O;DW1;Palma APP
4D;LECP12O;DW2;Palma APP
4D;LECP12O;LNX;Palma APP
4D;LECP12O;LSX;Palma APP
4D;LECP12O;OXX;Palma APP
4D;LECPAPP;APP;Palma APP
4D;LECPGIX;GXX;Palma APP
4D;LECPGIX;IA06;Palma APP
4D;LECPGIX;IA24;Palma APP
4D;LECPGIX;IAX;Palma APP
4D;LECPGIX;IRX;Palma APP
4D;LECPMXX;MXX;Palma APP
4E;LECPAPR;APP;Palma APP
4E;LECPAPR;DE1;Palma APP
4E;LECPAPR;DE2;Palma APP
4E;LECPAPR;DSX;Palma APP
4E;LECPAPR;DW1;Palma APP
4E;LECPAPR;DW2;Palma APP
4E;LECPAPR;LNX;Palma APP
4E;LECPAPR;LSX;Palma APP
4E;LECPGOX;GXX;Palma APP
4E;LECPGOX;OXX;Palma APP
4E;LECPIXX;IA06;Palma APP
4E;LECPIXX;IA24;Palma APP
4E;LECPIXX;IAX;Palma APP
4E;LECPIXX;IRX;Palma APP
4E;LECPMXX;MXX;Palma APP
4F;LECPAPP;APP;Palma APP
4F;LECPF12;DE1;Palma APP
4F;LECPF12;DE2;Palma APP
4F;LECPF12;DSX;Palma APP
4F;LECPF12;DW1;Palma APP
4F;LECPF12;DW2;Palma APP
4F;LECPF12;LNX;Palma APP
4F;LECPF12;LSX;Palma APP
4F;LECPGOM;GXX;Palma APP
4F;LECPGOM;MXX;Palma APP
4F;LECPGOM;OXX;Palma APP
4F;LECPIXX;IA06;Palma APP
4F;LECPIXX;IA24;Palma APP
4F;LECPIXX;IAX;Palma APP
4F;LECPIXX;IRX;Palma APP
4G;LECP12O;DE1;Palma APP
4G;LECP12O;DE2;Palma APP
4G;LECP12O;DSX;Palma APP
4G;LECP12O;DW1;Palma APP
4G;LECP12O;DW2;Palma APP
4G;LECP12O;LNX;Palma APP
4G;LECP12O;LSX;Palma APP
4G;LECP12O;OXX;Palma APP
4G;LECPAPP;APP;Palma APP
4G;LECPGMX;GXX;Palma APP
4G;LECPGMX;MXX;Palma APP
4G;LECPIXX;IA06;Palma APP
4G;LECPIXX;IA24;Palma APP
