Sectorizacion;Sector;Volumen;Ruta
1A;LECSALL;ALCL;Sevilla
1A;LECSALL;ALCU;Sevilla
1A;LECSALL;ALML;Sevilla
1A;LECSALL;ALMU;Sevilla
1A;LECSALL;APNX;Sevilla
1A;LECSALL;APSX;Sevilla
1A;LECSALL;BLNX;Sevilla
1A;LECSALL;MALL;Sevilla
1A;LECSALL;MALU;Sevilla
1A;LECSALL;MARX;Sevilla
1A;LECSALL;SEVL;Sevilla
1A;LECSALL;SEVU;Sevilla
1A;LECSALL;VEJU;Sevilla
1A;LECSALL;YESX;Sevilla
2A;LECSAPT;APNX;Sevilla
2A;LECSAPT;APSX;Sevilla
2A;LECSRTA;ALCL;Sevilla
2A;LECSRTA;ALCU;Sevilla
2A;LECSRTA;ALML;Sevilla
2A;LECSRTA;ALMU;Sevilla
2A;LECSRTA;BLNX;Sevilla
2A;LECSRTA;MALL;Sevilla
2A;LECSRTA;MALU;Sevilla
2A;LECSRTA;MARX;Sevilla
2A;LECSRTA;SEVL;Sevilla
2A;LECSRTA;SEVU;Sevilla
2A;LECSRTA;VEJU;Sevilla
2A;LECSRTA;YESX;Sevilla
3A;LECSAPT;APNX;Sevilla
3A;LECSAPT;APSX;Sevilla
3A;LECSNCS;ALCU;Sevilla
3A;LECSNCS;ALML;Sevilla
3A;LECSNCS;ALMU;Sevilla
3A;LECSNCS;BLNX;Sevilla
3A;LECSNCS;MALL;Sevilla
3A;LECSNCS;MALU;Sevilla
3A;LECSNCS;YESX;Sevilla
3A;LECSSM2;ALCL;Sevilla
3A;LECSSM2;MARX;Sevilla
3A;LECSSM2;SEVL;Sevilla
3A;LECSSM2;SEVU;Sevilla
3A;LECSSM2;VEJU;Sevilla
4A;LECSAPT;APNX;Sevilla
4A;LECSAPT;APSX;Sevilla
4A;LECSCES;ALML;Sevilla
4A;LECSCES;ALMU;Sevilla
4A;LECSCES;MALL;Sevilla
4A;LECSCES;MALU;Sevilla
4A;LECSNO1;ALCU;Sevilla
4A;LECSNO1;BLNX;Sevilla
4A;LECSNO1;YESX;Sevilla
4A;LECSSM2;ALCL;Sevilla
4A;LECSSM2;MARX;Sevilla
4A;LECSSM2;SEVL;Sevilla
4A;LECSSM2;SEVU;Sevilla
4A;LECSSM2;VEJU;Sevilla
4B;LECSAPT;APNX;Sevilla
4B;LECSAPT;APSX;Sevilla
4B;LECSBLY;ALML;Sevilla
4B;LECSBLY;ALMU;Sevilla
4B;LECSBLY;BLNX;Sevilla
4B;LECSBLY;MALL;Sevilla
4B;LECSBLY;MALU;Sevilla
4B;LECSBLY;YESX;Sevilla
4B;LECSMAR;ALCL;Sevilla
4B;LECSMAR;ALCU;Sevilla
4B;LECSMAR;MARX;Sevilla
4B;LECSMAR;VEJU;Sevilla
4B;LECSSEV;SEVL;Sevilla
4B;LECSSEV;SEVU;Sevilla
4C;LECSAPT;APNX;Sevilla
4C;LECSAPT;APSX;Sevilla
4C;LECSMA4;ALCL;Sevilla
4C;LECSMA4;MARX;Sevilla
4C;LECSMA4;VEJU;Sevilla
4C;LECSNCS;ALCU;Sevilla
4C;LECSNCS;ALML;Sevilla
4C;LECSNCS;ALMU;Sevilla
4C;LECSNCS;BLNX;Sevilla
4C;LECSNCS;MALL;Sevilla
4C;LECSNCS;MALU;Sevilla
4C;LECSNCS;YESX;Sevilla
4C;LECSSEV;SEVL;Sevilla
4C;LECSSEV;SEVU;Sevilla
4D;LECSASN;APNX;Sevilla
4D;LECSASV;APSX;Sevilla
4D;LECSNCS;ALCU;Sevilla
4D;LECSNCS;ALML;Sevilla
4D;LECSNCS;ALMU;Sevilla
4D;LECSNCS;BLNX;Sevilla
4D;LECSNCS;MALL;Sevilla
4D;LECSNCS;MALU;Sevilla
4D;LECSNCS;YESX;Sevilla
4D;LECSSM2;ALCL;Sevilla
4D;LECSSM2;MARX;Sevilla
4D;LECSSM2;SEVL;Sevilla
4D;LECSSM2;SEVU;Sevilla
4D;LECSSM2;VEJU;Sevilla
5A;LECSAPT;APNX;Sevilla
5A;LECSAPT;APSX;Sevilla
5A;LECSCES;ALML;Sevilla
5A;LECSCES;ALMU;Sevilla
5A;LECSCES;MALL;Sevilla
5A;LECSCES;MALU;Sevilla
5A;LECSMA4;ALCL;Sevilla
5A;LECSMA4;MARX;Sevilla
5A;LECSMA4;VEJU;Sevilla
5A;LECSNO1;ALCU;Sevilla
5A;LECSNO1;BLNX;Sevilla
5A;LECSNO1;YESX;Sevilla
5A;LECSSEV;SEVL;Sevilla
5A;LECSSEV;SEVU;Sevilla
5B;LECSAPT;APNX;Sevilla
5B;LECSAPT;APSX;Sevilla
5B;LECSCES;ALML;Sevilla
5B;LECSCES;ALMU;Sevilla
5B;LECSCES;MALL;Sevilla
5B;LECSCES;MALU;Sevilla
5B;LECSMAR;ALCL;Sevilla
5B;LECSMAR;ALCU;Sevilla
5B;LECSMAR;MARX;Sevilla
5B;LECSMAR;VEJU;Sevilla
5B;LECSNOR;BLNX;Sevilla
5B;LECSNOR;YESX;Sevilla
5B;LECSSEV;SEVL;Sevilla
5B;LECSSEV;SEVU;Sevilla
5C;LECSAPT;APNX;Sevilla
5C;LECSAPT;APSX;Sevilla
5C;LECSCEN;ALML;Sevilla
5C;LECSCEN;MALL;Sevilla
5C;LECSNO1;ALCU;Sevilla
5C;LECSNO1;BLNX;Sevilla
5C;LECSNO1;YESX;Sevilla
5C;LECSSM2;ALCL;Sevilla
5C;LECSSM2;MARX;Sevilla
5C;LECSSM2;SEVL;Sevilla
5C;LECSSM2;SEVU;Sevilla
5C;LECSSM2;VEJU;Sevilla
5C;LECSSUR;ALMU;Sevilla
5C;LECSSUR;MALU;Sevilla
5D;LECSAPT;APNX;Sevilla
5D;LECSAPT;APSX;Sevilla
5D;LECSBA1;ALCU;Sevilla
5D;LECSBA1;BLNX;Sevilla
5D;LECSCES;ALML;Sevilla
5D;LECSCES;ALMU;Sevilla
5D;LECSCES;MALL;Sevilla
5D;LECSCES;MALU;Sevilla
5D;LECSSM2;ALCL;Sevilla
5D;LECSSM2;MARX;Sevilla
