Sectorizacion;Sector;Volumen;Ruta
1A;LECBBKE;VVS;Barcelona RutaE
1A;LECBBKE;MNL;Barcelona RutaE
1A;LECBBKE;MNU;Barcelona RutaE
1A;LECBBKE;VNI;Barcelona RutaE
1A;LECBBKE;MMS;Barcelona RutaE
1A;LECBBKE;CCU;Barcelona RutaE
1A;LECBBKE;CCL;Barcelona RutaE
1A;LECBBKW;GTL;Barcelona RutaW
1A;LECBBKW;LVL;Barcelona RutaW
1A;LECBBKW;LVU;Barcelona RutaW
1A;LECBBKW;PP2;Barcelona RutaW
1A;LECBBKW;LAG;Barcelona RutaW
1A;LECBBKW;P1U;Barcelona RutaW
1A;LECBBKW;P1L;Barcelona RutaW
2A;LECBCVN;VNI;Barcelona RutaE
2A;LECBCVN;CCU;Barcelona RutaE
2A;LECBCVN;CCL;Barcelona RutaE
2A;LECBLLI;LAG;Barcelona RutaW
2A;LECBLLI;LVU;Barcelona RutaW
2A;LECBLLI;LVL;Barcelona RutaW
2A;LECBLLI;GTL;Barcelona RutaW
2A;LECBMVS;MMS;Barcelona RutaE
2A;LECBMVS;MNL;Barcelona RutaE
2A;LECBMVS;VVS;Barcelona RutaE
2A;LECBMVS;MNU;Barcelona RutaE
2A;LECBPPI;P1L;Barcelona RutaW
2A;LECBPPI;P1U;Barcelona RutaW
2A;LECBPPI;PP2;Barcelona RutaW
2B;LECBCCC;CCL;Barcelona RutaE
2B;LECBCCC;CCU;Barcelona RutaE
2B;LECBMVI;VVS;Barcelona RutaE
2B;LECBMVI;VNI;Barcelona RutaE
2B;LECBMVI;MNU;Barcelona RutaE
2B;LECBMVI;MMS;Barcelona RutaE
2B;LECBMVI;MNL;Barcelona RutaE
2C;LECBCBM;VVS;Barcelona RutaE
2C;LECBCBM;MMS;Barcelona RutaE
2C;LECBCBM;MNU;Barcelona RutaE
2C;LECBCBM;MNL;Barcelona RutaE
2C;LECBCBM;CCL;Barcelona RutaE
2C;LECBCBM;CCU;Barcelona RutaE
2C;LECBVNI;VNI;Barcelona RutaE
3A;LECBCCC;CCL;Barcelona RutaE
3A;LECBCCC;CCU;Barcelona RutaE
3A;LECBLGL;GTL;Barcelona RutaW
3A;LECBLGL;LVL;Barcelona RutaW
3A;LECBLGU;LAG;Barcelona RutaW
3A;LECBLGU;LVU;Barcelona RutaW
3A;LECBMMI;MNL;Barcelona RutaE
3A;LECBMMI;MNU;Barcelona RutaE
3A;LECBMMI;MMS;Barcelona RutaE
3A;LECBPPI;P1L;Barcelona RutaW
3A;LECBPPI;P1U;Barcelona RutaW
3A;LECBPPI;PP2;Barcelona RutaW
3A;LECBVVI;VVS;Barcelona RutaE
3A;LECBVVI;VNI;Barcelona RutaE
3B;LECBCCC;CCL;Barcelona RutaE
3B;LECBCCC;CCU;Barcelona RutaE
3B;LECBLLI;LAG;Barcelona RutaW
3B;LECBLLI;LVU;Barcelona RutaW
3B;LECBLLI;LVL;Barcelona RutaW
3B;LECBLLI;GTL;Barcelona RutaW
3B;LECBMNI;MNU;Barcelona RutaE
3B;LECBMNI;MNL;Barcelona RutaE
3B;LECBP1I;P1L;Barcelona RutaW
3B;LECBP1I;P1U;Barcelona RutaW
3B;LECBPP2;PP2;Barcelona RutaW
3B;LECBVMS;MMS;Barcelona RutaE
3B;LECBVMS;VNI;Barcelona RutaE
3B;LECBVMS;VVS;Barcelona RutaE
3C;LECBCCC;CCL;Barcelona RutaE
3C;LECBCCC;CCU;Barcelona RutaE
3C;LECBMVS;MMS;Barcelona RutaE
3C;LECBMVS;MNL;Barcelona RutaE
3C;LECBMVS;VVS;Barcelona RutaE
3C;LECBMVS;MNU;Barcelona RutaE
3C;LECBVNI;VNI;Barcelona RutaE
3D;LECBBAS;VVS;Barcelona RutaE
3D;LECBBAS;MMS;Barcelona RutaE
3D;LECBCVN;VNI;Barcelona RutaE
3D;LECBCVN;CCU;Barcelona RutaE
3D;LECBCVN;CCL;Barcelona RutaE
3D;LECBMNI;MNU;Barcelona RutaE
3D;LECBMNI;MNL;Barcelona RutaE
3E;LECBBAS;VVS;Barcelona RutaE
3E;LECBBAS;MMS;Barcelona RutaE
3E;LECBCCC;CCL;Barcelona RutaE
3E;LECBCCC;CCU;Barcelona RutaE
3E;LECBVMN;MNU;Barcelona RutaE
3E;LECBVMN;MNL;Barcelona RutaE
3E;LECBVMN;VNI;Barcelona RutaE
4A;LECBBAS;VVS;Barcelona RutaE
4A;LECBBAS;MMS;Barcelona RutaE
4A;LECBCCC;CCL;Barcelona RutaE
4A;LECBCCC;CCU;Barcelona RutaE
4A;LECBLGL;GTL;Barcelona RutaW
4A;LECBLGL;LVL;Barcelona RutaW
4A;LECBLGU;LAG;Barcelona RutaW
4A;LECBLGU;LVU;Barcelona RutaW
4A;LECBMNI;MNU;Barcelona RutaE
4A;LECBMNI;MNL;Barcelona RutaE
4A;LECBP1I;P1L;Barcelona RutaW
4A;LECBP1I;P1U;Barcelona RutaW
4A;LECBPP2;PP2;Barcelona RutaW
4A;LECBVNI;VNI;Barcelona RutaE
4B;LECBBAS;VVS;Barcelona RutaE
4B;LECBBAS;MMS;Barcelona RutaE
4B;LECBCVN;VNI;Barcelona RutaE
4B;LECBCVN;CCU;Barcelona RutaE
4B;LECBCVN;CCL;Barcelona RutaE
4B;LECBLLI;LAG;Barcelona RutaW
4B;LECBLLI;LVU;Barcelona RutaW
4B;LECBLLI;LVL;Barcelona RutaW
4B;LECBLLI;GTL;Barcelona RutaW
4B;LECBMNL;MNL;Barcelona RutaE
4B;LECBMNU;MNU;Barcelona RutaE
4B;LECBPP2;PP2;Barcelona RutaW
4C;LECBCCC;CCL;Barcelona RutaE
4C;LECBCCC;CCU;Barcelona RutaE
4C;LECBLVL;LVL;Barcelona RutaW
4C;LECBLVS;GTL;Barcelona RutaW
4C;LECBLVS;LAG;Barcelona RutaW
4C;LECBLVU;LVU;Barcelona RutaW
4C;LECBMNL;MNL;Barcelona RutaE
4C;LECBMNU;MNU;Barcelona RutaE
4C;LECBPPI;P1L;Barcelona RutaW
4C;LECBPPI;P1U;Barcelona RutaW
4C;LECBPPI;PP2;Barcelona RutaW
4C;LECBVMS;MMS;Barcelona RutaE
4C;LECBVMS;VNI;Barcelona RutaE
4C;LECBVMS;VVS;Barcelona RutaE
5A;LECBBAS;VVS;Barcelona RutaE
5A;LECBBAS;MMS;Barcelona RutaE
5A;LECBCCC;CCL;Barcelona RutaE
5A;LECBCCC;CCU;Barcelona RutaE
5A;LECBLVL;LVL;Barcelona RutaW
5A;LECBLVS;GTL;Barcelona RutaW
5A;LECBLVS;LAG;Barcelona RutaW
5A;LECBLVU;LVU;Barcelona RutaW
5A;LECBMNL;MNL;Barcelona RutaE
5A;LECBMNU;MNU;Barcelona RutaE
5A;LECBP1I;P1L;Barcelona RutaW
5A;LECBP1I;P1U;Barcelona RutaW
5A;LECBPP2;PP2;Barcelona RutaW
5A;LECBVNI;VNI;Barcelona RutaE
5B;LECBLGL;GTL;Barcelona RutaW
5B;LECBLGL;LVL;Barcelona RutaW
5B;LECBLGU;LAG;Barcelona RutaW
5B;LECBLGU;LVU;Barcelona RutaW
5B;LECBPP2;PP2;Barcelona RutaW
6A;LECBLVL;LVL;Barcelona RutaW
6A;LECBLVS;GTL;Barcelona RutaW
6A;LECBLVS;LAG;Barcelona RutaW
6A;LECBLVU;LVU;Barcelona RutaW
6A;LECBPP2;PP2;Barcelona RutaW
4E;LECBCCL;CCL;Barcelona RutaE
4E;LECBCCU;CCU;Barcelona RutaE
4E;LECBMMI;MNL;Barcelona RutaE
4E;LECBMMI;MNU;Barcelona RutaE
4E;LECBMMI;MMS;Barcelona RutaE
4E;LECBVVI;VVS;Barcelona RutaE
4E;LECBVVI;VNI;Barcelona RutaE
5C;LECBBAS;VVS;Barcelona RutaE
5C;LECBBAS;MMS;Barcelona RutaE
5C;LECBCCL;CCL;Barcelona RutaE
5C;LECBCCU;CCU;Barcelona RutaE
5C;LECBMNI;MNU;Barcelona RutaE
5C;LECBMNI;MNL;Barcelona RutaE
5C;LECBVNI;VNI;Barcelona RutaE
5D;LECBCCL;CCL;Barcelona RutaE
5D;LECBCCU;CCU;Barcelona RutaE
5D;LECBMNL;MNL;Barcelona RutaE
5D;LECBMNU;MNU;Barcelona RutaE
5D;LECBVMS;MMS;Barcelona RutaE
5D;LECBVMS;VNI;Barcelona RutaE
5D;LECBVMS;VVS;Barcelona RutaE
6A;LECBBAS;VVS;Barcelona RutaE
6A;LECBBAS;MMS;Barcelona RutaE
6A;LECBCCL;CCL;Barcelona RutaE
6A;LECBCCU;CCU;Barcelona RutaE
6A;LECBMNL;MNL;Barcelona RutaE
6A;LECBMNU;MNU;Barcelona RutaE
6A;LECBVNI;VNI;Barcelona RutaE
4D;LECBCCC;CCL;Barcelona RutaE
4D;LECBCCC;CCU;Barcelona RutaE
4D;LECBMMI;MNL;Barcelona RutaE
4D;LECBMMI;MNU;Barcelona RutaE
4D;LECBMMI;MMS;Barcelona RutaE
4D;LECBVNI;VNI;Barcelona RutaE
4D;LECBVVS;VVS;Barcelona RutaE
5B;LECBCCC;CCL;Barcelona RutaE
5B;LECBCCC;CCU;Barcelona RutaE
5B;LECBMNL;MNL;Barcelona RutaE
5B;LECBMUS;MNU;Barcelona RutaE
5B;LECBMUS;MMS;Barcelona RutaE
5B;LECBVNI;VNI;Barcelona RutaE
5B;LECBVVS;VVS;Barcelona RutaE
5E;LECBCCC;CCL;Barcelona RutaE
5E;LECBCCC;CCU;Barcelona RutaE
5E;LECBMLS;MNL;Barcelona RutaE
5E;LECBMLS;MMS;Barcelona RutaE
5E;LECBMNU;MNU;Barcelona RutaE
5E;LECBVNI;VNI;Barcelona RutaE
5E;LECBVVS;VVS;Barcelona RutaE
6B;LECBCCL;CCL;Barcelona RutaE
6B;LECBCCU;CCU;Barcelona RutaE
