SECTOR;Sectores Elementales
LECBBKE;
LECBBKW;
LECBCVN;LECBVNI
LECBCVN;LECBCCC
LECBCVN;LECBCCU
LECBCVN;LECBCCL
LECBLLI;LECBLAG
LECBLLI;LECBLVU
LECBLLI;LECBLVL
LECBLLI;LECBGTL
LECBMVS;LECBMMS
LECBMVS;LECBMNL
LECBMVS;LECBVVS
LECBMVS;LECBMNU
LECBPPI;LECBP1L
LECBPPI;LECBP1U
LECBPPI;LECBPP2
LECBPPI;LECBG1R
LECBPPI;LECBGO2
LECBPPI;LECBP2R
LECBPPI;LECBGO3
LECBPPI;LECBBND
LECBCCC;LECBCCL
LECBCCC;LECBCCU
LECBMVI;
LECBCBM;LECBVVS
LECBCBM;LECBCCC
LECBCBM;LECBMMS
LECBCBM;LECBMNU
LECBCBM;LECBMNL
LECBCBM;LECBCCL
LECBCBM;LECBCCU
LECBVNI;LECBVNI
LECBLGL;LECBGTL
LECBLGL;LECBLVL
LECBLGU;LECBLAG
LECBLGU;LECBLVU
LECBMMI;LECBMNL
LECBMMI;LECBMNU
LECBMMI;LECBMMS
LECBVVI;LECBVVS
LECBVVI;LECBVNI
LECBMNI;LECBMNU
LECBMNI;LECBMNL
LECBVMS;LECBMMS
LECBVMS;LECBVNI
LECBVMS;LECBVVS
LECBMVS;
LECBBAS;LECBVVS
LECBBAS;LECBMMS
LECBVMN;LECBMNU
LECBVMN;LECBMNL
LECBVMN;LECBVNI
LECBMNL;LECBMNL
LECBMNU;LECBMNU
LECBLVL;LECBLVL
LECBLVS;LECBGTL
LECBLVS;LECBLAG
LECBLVU;LECBLVU
LECBCCL;LECBCCL
LECBCCU;LECBCCU
LECBVVS;LECBVVS
LECBMUS;LECBMNU
LECBMUS;LECBMMS
LECBMLS;LECBMNL
LECBMLS;LECBMMS
LECBGOI;LECBGO3
LECBGOI;LECBGO2
LECBGOI;LECBBND
LECBGOI;LECBG1R
LECBG23;LECBGO3
LECBG23;LECBGO2
LECBGO1;LECBG1R
LECBGO1;LECBBND
LECBG12;LECBG1R
LECBG12;LECBBND
LECBG12;LECBGO2
LECBGO3;LECBGO3
LECBGO2;LECBGO2
LECBP2R;LECBP2R
