;;Nñcleos Barcelona Ruta;
;Tipo Sector;Barcelona RutaE;Barcelona RutaW
LECBBAS;Ruta;X;
LECBBKE;Ruta;X;
LECBBKW;Ruta;;X
LECBCBM;Ruta;X;
LECBCCC;Ruta;X;X
LECBCCL;Ruta;X;X
LECBCCU;Ruta;X;X
LECBCVN;Ruta;X;X
LECBG12;Ruta;X;X
LECBG23;Ruta;X;X
LECBGO1;Ruta;X;X
LECBGO2;Ruta;X;X
LECBGO3;Ruta;X;X
LECBGOI;Ruta;X;X
LECBLGL;Ruta;;X
LECBLGU;Ruta;;X
LECBLLI;Ruta;;X
LECBLVL;Ruta;;X
LECBLVS;Ruta;;X
LECBLVU;Ruta;;X
LECBMLS;Ruta;X;
LECBMMI;Ruta;X;
LECBMNI;Ruta;X;
LECBMNL;Ruta;X;
LECBMNU;Ruta;X;
LECBMUS;Ruta;X;
LECBMVI;Ruta;X;
LECBMVS;Ruta;X;
LECBP2R;Ruta;X;X
LECBPPI;Ruta;X;X
LECBVMN;Ruta;X;
LECBVMS;Ruta;X;
LECBVNI;Ruta;X;X
LECBVVI;Ruta;X;
LECBVVS;Ruta;X;
