Sectorizacion;Sector;Volumen;Ruta;
A1A;GCCCTM3;FCN;Canarias App;
A1A;GCCCTM3;FCS;Canarias App;
A1A;GCCCTM3;GCN;Canarias App;
A1A;GCCCTM3;AAC;Canarias App;
A1A;GCCCTM3;FGC;Canarias App;
A1A;GCCCTM3;ACW;Canarias App;
A1A;GCCCTM3;GCS;Canarias App;
A2A;GCCCAAC;AAC;Canarias App;
A2A;GCCCTW2;FGC;Canarias App;
A2A;GCCCTW2;GCN;Canarias App;
A2A;GCCCTW2;FCS;Canarias App;
A2A;GCCCTW2;FCN;Canarias App;
A2A;GCCCTW2;ACW;Canarias App;
A2A;GCCCTW2;GCS;Canarias App;
A3A;GCCCAAC;AAC;Canarias App;
A3A;GCCCIGC;FGC;Canarias App;
A3A;GCCCIGC;GCS;Canarias App;
A3A;GCCCIGC;GCN;Canarias App;
A3A;GCCCINB;FCS;Canarias App;
A3A;GCCCINB;FCN;Canarias App;
A3A;GCCCINB;ACW;Canarias App;
A4A;GCCCAAC;AAC;Canarias App;
A4A;GCCCF03;GCN;Canarias App;
A4A;GCCCF03;FGC;Canarias App;
A4A;GCCCGCS;GCS;Canarias App;
A4A;GCCCINB;FCN;Canarias App;
A4A;GCCCINB;ACW;Canarias App;
A4A;GCCCINB;FCS;Canarias App;
A4B;GCCCAAC;AAC;Canarias App;
A4B;GCCCACW;ACW;Canarias App;
A4B;GCCCFCW;FCS;Canarias App;
A4B;GCCCFCW;FCN;Canarias App;
A4B;GCCCIGC;GCS;Canarias App;
A4B;GCCCIGC;GCN;Canarias App;
A4B;GCCCIGC;FGC;Canarias App;
A4C;GCCCAAC;AAC;Canarias App;
A4C;GCCCF21;GCS;Canarias App;
A4C;GCCCF21;FGC;Canarias App;
A4C;GCCCGCN;GCN;Canarias App;
A4C;GCCCINB;ACW;Canarias App;
A4C;GCCCINB;FCN;Canarias App;
A4C;GCCCINB;FCS;Canarias App;
A4D;GCCCAAC;AAC;Canarias App;
A4D;GCCCD26;FCS;Canarias App;
A4D;GCCCD26;ACW;Canarias App;
A4D;GCCCFCN;FCN;Canarias App;
A4D;GCCCIGC;GCN;Canarias App;
A4D;GCCCIGC;GCS;Canarias App;
A4D;GCCCIGC;FGC;Canarias App;
A5A;GCCCAAC;AAC;Canarias App;
A5A;GCCCACW;ACW;Canarias App;
A5A;GCCCF03;GCN;Canarias App;
A5A;GCCCF03;FGC;Canarias App;
A5A;GCCCFCW;FCS;Canarias App;
A5A;GCCCFCW;FCN;Canarias App;
A5A;GCCCGCS;GCS;Canarias App;
A5B;GCCCAAC;AAC;Canarias App;
A5B;GCCCD26;ACW;Canarias App;
A5B;GCCCD26;FCS;Canarias App;
A5B;GCCCF03;GCN;Canarias App;
A5B;GCCCF03;FGC;Canarias App;
A5B;GCCCFCN;FCN;Canarias App;
A5B;GCCCGCS;GCS;Canarias App;
A5C;GCCCAAC;AAC;Canarias App;
A5C;GCCCACW;ACW;Canarias App;
A5C;GCCCF21;GCS;Canarias App;
A5C;GCCCF21;FGC;Canarias App;
A5C;GCCCFCW;FCS;Canarias App;
A5C;GCCCFCW;FCN;Canarias App;
A5C;GCCCGCN;GCN;Canarias App;
